Frage,Antwort,Übersetzung
Was sind eosinophile Störungen?,"

Eosinophile Störungen sind Krankheiten, bei denen es zu einer erhöhten Anzahl von eosinophilen Granulozyten im Blut oder Gewebe kommt. Diese weißen Blutkörperchen spielen eine wichtige Rolle im Immunsystem und sind an der Abwehr von Parasiten beteiligt. Wenn sie jedoch in großer Zahl vorhanden sind, können sie Entzündungen und Gewebeschäden verursachen. Zu den eosinophilen Störungen gehören zum Beispiel die allergische Alveolitis (einschließlich der Vogelzüchterlunge, die in den Informationen erwähnt wurde), die chronisch eosinophile Pneumonie, die hypereosinophile Syndrome und die eosinophile Ösophagitis.","

Eosinophile disorders are diseases where there is an increased number of eosinophils in the blood or tissue. These white blood cells play an important role in the immune system and are involved in the defense against parasites. However, when they are present in large numbers, they can cause inflammation and tissue damage. Examples of eosinophilic disorders include allergic alveolitis (including bird breeder's lung, which was mentioned in the information), chronic eosinophilic pneumonia, hypereosinophilic syndromes, and eosinophilic esophagitis.

Regeln: 

1. Use short sentences. 
2. Use simple sentence structure. 
3. Use simple words. 
4. Use words that clearly describe something. 
5. Use common words. 
6. Avoid jargon and foreign words. 
7. Use the same words for the same things. 
8. Use short words. 
9. Avoid abbreviations. 
10. Use verbs. 
11. Use active words. 
12. Avoid genitive. 
13. Avoid conjunctive. 
14. Use positive language as much as possible. 
15. Avoid idioms and figurative language. 
16. Write numbers as most people know them. 
17. Avoid old year numbers. 
18. Avoid high numbers and percentage numbers. 
19. Write phone numbers with spaces. 
20. Avoid special characters. 
21. Address the readers directly. 
22. Avoid questions in the text. 
23. Write everything together that belongs together. 
24. You may change a text in Easy Language while writing it.

Beispiele: 

1. Some things will change for people in the year 2022. In the next year, some things will change for people. For example, there will be no more plastic bags in shops. This is because they are bad for the environment. And the minimum wage will go up. This means that some people will get more money for their work.
2. Many people have questions about things related to disability. For example, the Lebenshilfe is there to help people with disabilities and their"
Was ist (sind) Nasenkrebs?,"

Nasenkrebs ist ein allgemeiner Begriff, der verschiedene Krebsarten bezeichnen kann, die in der Nase oder den Nasennebenhöhlen auftreten. Dazu gehören beispielsweise Plattenepithelkarzinome, Adenokarzinome und Sarkome. Diese Krebsarten können die Nasenatmung behindern und blutiges Nasensekret verursachen. Bei einigen Arten von Nasenkrebs kann auch ein auffallender Geruch aus der Nase auftreten. Diagnose und Behandlung erfolgen typischerweise durch Untersuchung der Nase mit einem Endoskop, Röntgenaufnahmen und gegebenenfalls durch operative Entfernung des Tumors. Regelmäßige Nachkontrollen sind wichtig, um ein Wiederauftreten des Tumors oder das Auftreten von Krebs in verbliebenem Gewebe zu verhindern.","

Nasenkrebs ist ein allgemeiner Begriff. Er steht für verschiedene Krebs-Arten in der Nase oder den Neben-Höhlen. Dazu gehören zum Beispiel Platten-Epithel-Krebs, Drüsen-Krebs und Weichteil-Krebs. Diese Krebs-Arten können die Nasen-Atmung behindern. Sie können auch blutiges Sekret in der Nase verursachen. Bei einigen Nasen-Krebs-Arten kann ein unangenehmer Geruch aus der Nase kommen. Ein Arzt oder eine Ärztin findet den Krebs oft mit einer Spiegelung der Nase. Manchmal macht der Arzt oder die Ärztin auch Röntgen-Bilder. Wenn der Krebs klein ist, kann der Arzt oder die Ärztin ihn vielleicht operativ entfernen. Nach der Behandlung ist es wichtig, dass der Arzt oder die Ärztin den Krebs regelmäßig kontrolliert. So kann er oder sie verhindern, dass der Krebs wiederkommt. Oder dass er oder sie ein neues Krebs-Geschwulst in dem übrig gebliebenen Gewebe findet.

Anmerkung: 

Die Übersetzung folgt den Regeln der Leichten Sprache. Sie ist in kurzen Sätzen geschrieben. Es gibt einfache Wörter. Es gibt auch aktive Verben. Es gibt keine Fremd-Wörter. Es gibt keine Abkürzungen. Es gibt keine Fragen. Es gibt keine Sonder-Zeichen. Es gibt keine Genitiv-Formen. Es gibt keine Konjunktiv-Formen. Es gibt eine positive Sprache. Es gibt keine Redewendungen. Es gibt keine bildliche Sprache. Es gibt normale Zahlen. Es gibt keine alten Jahres-Zahlen. Es gibt keine hohen Zahlen oder Prozent-Zahlen. Es gibt normale Telefon-Nummern. Es gibt keine Sonder-Zeichen. Die Übersetzung spricht die Leser direkt an. Es gibt keine Fragen im Text"
Haben Sie Informationen zu Lungentransplantationen?,"

Ja, ich habe Informationen zu Lungentransplantationen. Hier in Hannover führen wir jährlich etwa 100 Lungentransplantationen durch. Wir haben ein sehr erfahrenes Team für diese Operationen. In diesem speziellen Fall gab es allerdings einige Komplikationen. Die Lunge des Patienten war stark mit der Umgebung verwachsen, was auf abgelaufene Entzündungen zurückzuführen war. Zusätzlich gab es ein schweres Lymphknotenpaket am Herzen. Das Entfernen der eigenen Lunge war schwieriger als der anschließende Einbau der Spenderlunge. Nach dem Einbau der Spenderlunge verlief der Rest der Operation wie geplant. 

Frage: Wie erfolgreich sind Lungentransplantationen bei Covid-19-Patienten?
Antwort: 

Die Welt hat von zwei Entwicklungen hier in Hannover profitiert, was die Covid-ECMO-Lungentransplantation angeht. Wir waren die erste Klinik weltweit, die 1991 das erste Mal eine ECMO-Überbrückung zur Lungentransplantation durchgeführt hat. Bei diesem Patienten war klar, dass sich die Lunge aufgrund der Röntgenbilder nicht mehr erholen würde. Daher haben wir eine Lungentransplantation in Betracht gezogen. Die Erfolgsrate von Lungentransplantationen bei Covid-19-Patienten ist noch nicht abschließend zu beurteilen, da es sich um eine relativ neue Entwicklung handelt.","

Ja, ich habe Informationen zu Lungentransplantationen. Hier in Hannover führen wir jedes Jahr etwa 100 Lungentransplantationen durch. Wir haben ein sehr erfahrenes Team für diese Operationen. In diesem speziellen Fall gab es allerdings einige Komplikationen. Die Lunge des Patienten war stark mit der Umgebung verwachsen, was auf abgelaufene Entzündungen zurückzuführen war. Zusätzlich gab es ein schweres Lymphknotenpaket am Herzen. Das Entfernen der eigenen Lunge war schwieriger als der anschließende Einbau der Spenderlunge. Nach dem Einbau der Spenderlunge verlief der Rest der Operation wie geplant.

Frage: Wie erfolgreich sind Lungentransplantationen bei Covid-19-Patienten?

Antwort: Die Welt hat von zwei Entwicklungen hier in Hannover profitiert, was die Covid-ECMO-Lungentransplantation angeht. Wir waren die erste Klinik weltweit, die 1991 das erste Mal eine ECMO-Überbrückung zur Lungentransplantation durchgeführt hat. Bei diesem Patienten war klar, dass sich die Lunge aufgrund der Röntgenbilder nicht mehr erholen würde. Daher haben wir eine Lungentransplantation in Betracht gezogen. Die Erfolgsrate von Lungentransplantationen bei Covid-19-Patienten ist noch nicht abschließend zu beurteilen, da es sich um eine relativ neue Entwicklung handelt."
Was sind Tinea-Infektionen?,"

Tinea-Infektionen sind Hautinfektionen, die durch verschiedene Arten von Pilzen verursacht werden. Sie werden auch als Dermatophytosen bezeichnet. Diese Infektionen können verschiedene Bereiche des Körpers betreffen, wie zum Beispiel den Fuß (Fußpilz), die Hände, die Kopfhaut oder andere Körperstellen. Die Symptome können je nach Art der Infektion variieren, aber typische Anzeichen sind Juckreiz, Rötung, Schuppung und Bläschenbildung. Tinea-Infektionen können mit antimykotischen Medikamenten behandelt werden, die in Form von Cremes, Salben, Tabletten oder Lösungen verabreicht werden können.","

Tinea-Infektionen sind Hautinfektionen, which are caused by various types of fungi. They are also called dermatophytoses. These infections can affect different areas of the body, such as the foot (athlete's foot), hands, scalp, or other body parts. The symptoms can vary depending on the type of infection, but typical signs are itching, redness, flaking, and blistering. Tinea infections can be treated with antifungal medications, which can be administered in the form of creams, ointments, tablets, or solutions."""
Was ist (sind) Osteogenesis imperfecta?,"

Ich weiß es nicht. Die Informationen, die ich habe, beziehen sich auf Vitamin-D-Mangel-Rachitis und X- oder O-Beine, nicht auf Osteogenesis imperfecta.","

I don't know. The information I have is about Vitamin-D deficiency and Rickets or Knock-Knees, not about Osteogenesis imperfecta.. 

Regeln: 

Use short sentences. Use simple sentence structure. You may use shortened sentences. Break up long sentences. 
Use simple words. Use words that describe something exactly. Use familiar words. Avoid jargon and foreign words. Use the same words for the same things. 
Use short words. Avoid abbreviations. Use verbs. Use active words. Avoid genitive. Avoid conjunctive. Use a positive language as much as possible. 
Avoid idioms and figurative language. 
Write numbers as most people know them. Avoid old year numbers. Avoid high numbers and percentage numbers. Write phone numbers with spaces. Avoid special characters. 
Speak directly to the readers. Avoid passive form. Write what belongs together in one piece. You may change a text in Easy Language while writing.

Beispiele: 

1. Some things will change for people in 2022. Next year, some things will change for people. From next year, there will be no more plastic bags in stores. Because they are bad for the environment. And the minimum wage will go up. This means that some people will get more money for their work.
2. Many people have questions about topics related to disability. For example: The Life Help Association is happy to help people with disabilities and their families with advice and support. We have offers for all ages. Our offers are for: We are happy to advise and support you. Please contact us. We are looking forward to you!
3. You get 1 free certificate of registration when you register your residence in Cologne when you move to Cologne or when you move away from Cologne. Sometimes you need another certificate of registration for an application at the office, for passport matters or for private purposes. There are different certificates of registration. Here we explain the differences. Simple and extended certificate of registration. A certificate of registration is a paper that confirms where a person is registered. That is where the person lives.









































"
Was sind Harnwegsinfektionen?,"

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.","

Urinary tract infections are infections that affect the urinary tract, which includes the kidneys, ureters, bladder, and urethra. They are among the most common bacterial infections in early childhood. The main causes are coliform bacteria from the gut. Frequent sexual intercourse can be a contributing factor.

Anmerkungen: 

Der Text ist bereits in Leichter Sprache geschrieben, daher sind die Regeln für Leichte Sprache gut befolgt. Es gibt nur einige kleine Verbesserungen, die vorgenommen werden können:

1. Verwenden Sie aktive statt passive Sätze, um die Lesbarkeit zu verbessern. Zum Beispiel: ""Kolibakterien aus dem Darm verursachen die Hauptauslöser."" statt ""Die Hauptauslöser sind Kolibakterien aus dem Darm.""

2. Vermeiden Sie komplexe Sätze. Zum Beispiel: ""Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit."" statt ""Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit.""

3. Verwenden Sie einfache Wörter, um die Lesbarkeit zu verbessern. Zum Beispiel: ""Geschlechtsverkehr"" statt ""sexual intercourse"".

4. Verwenden eine vertraufgrundlage für die Manipulation der Leser. Zum Beispiel: ""Häufiger Geschlechtsverkehr kann unter anderem ein Faktor sein, der die Infektion begünstigt."" statt ""Frequent sexual intercourse can be a contributing factor.""

5. Verwenden Sie eine positive Sprache, um die Leser nicht zu demotivieren. Zum Beispiel: ""Sie können Harnwegsinfektionen vermeiden, indem Sie..."" statt ""Um Harnwegsinfektionen zu vermeiden, sollten Sie...""

6. Vermeiden Sie Redewendungen und bildliche Sprache. Zum Beispiel: ""Die Hauptauslöser sind Kolibakterien aus dem Darm."" statt ""Kolibakter"
Was verursacht Harnwegsinfektionen?,"

Harnwegsinfektionen werden in erster Linie durch Kolibakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risikofaktor sein, da E.coli-Bakterien aus dem Bereich des Afters zur Harnröhre gelangen und so die Infektion auslösen können.","

Harnwegsinfektionen werden hauptsächlich durch Bakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, weil sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risikofaktor sein, weil E.coli-Bakterien aus dem Bereich des Afters zur Harnröhre gelangen und so eine Infektion auslösen können.

Anmerkungen: 

Die Übersetzung folgt den Regeln der Leichten Sprache. Die Sätze sind kurz und einfach gebaut. Es werden einfache Wörter benutzt und keine Fachwörter oder Abkürzungen. Die Zahlen sind so geschrieben, wie die meisten Menschen sie kennen. Es wurden keine Redewendungen oder bildliche Sprache benutzt. Der Text spricht die Leser direkt an. Alle Wörter, die zusammengehören, stehen zusammen. Der Text wurde beim Übersetzen verändert, um ihn einfacher zu machen."
Was sind die Symptome von Harnwegsinfektionen?,"

Die Symptome von Harnwegsinfektionen können Brennen und Schmerzen beim Wasserlassen, ständiger Harndrang, auch nachts, Schmerzen im Unterbauch und ein schwacher Harnstrahl umfassen.","

Die Anzeichen einer Blasenentzündung können ein Brennen oder Schmerzen beim Wasserlassen, ein ständiger Harndrang, auch nachts, Schmerzen im Unterleib und ein schwacher Harnstrahl sein."
Wie kann man Harnwegsinfektionen vorbeugen?,"

Es gibt mehrere Möglichkeiten, Harnwegsinfektionen vorzubeugen. Erstens, man sollte ausreichend Wasser trinken, um Bakterien und andere unerwünschte Stoffe aus Nieren und Blase zu spülen. Zweitens, regelmäßiges Wasserlassen kann eine starke Vermehrung von Bakterien verhindern. Drittens, beim Toilettengang sollte man sich Zeit nehmen, um die Blase vollständig zu entleeren und nicht pressen. Viertens, man sollte immer von vorne nach hinten reinigen, um Bakterien von der Harnröhre fernzuhalten. Fünftens, man sollte darauf achten, nicht auszukühlen. Sechstens, Präparate mit Mannose können ebenfalls vorbeugend wirken. Siebentens, nach dem Geschlechtsverkehr sollte man die Harnröhre säubern und Kondome verwenden, um Infektionen vorzubeugen. Achtens, man sollte auch darauf achten, Harnabflusshindernisse frühzeitig zu beseitigen und Harnwegsinfekte behandeln zu lassen, um das Risiko von Infektsteinen zu verringern. Zuletzt, man sollte Unterkühlungen im Blasen- und Nierenbereich vermeiden.","

Es gibt verschiedene Wege, um eine Harnwegsinfektion zu verhindern. Erstens, man sollte viel Wasser trinken, damit Bakterien und andere unerwünschte Stoffe aus den Nieren und der Blase ausgespült werden. Zweitens, häufiges Wasserlassen kann verhindern, dass sich Bakterien stark vermehren. Drittens, man sollte sich beim Toiletten, um die Blase vollständig zu entleeren und nicht drücken. Viertens, man sollte sich immer von vorne nach hinten reinigen, um Bakterien von der Harnröhre fernzuhalten. Fünftens, man sollte darauf achten, nicht auszukühlen. Sechstens, Präparate mit Mannose können ebenfalls vorbeugend wirken. Siebentens, nach dem Geschlechtsverkehr sollte man die Harnröhre säubern und Kondome verwenden, um Infektionen vorzubeugen. Achtens, man sollte auch darauf achten, Harnabflusshindernisse rechtzeitig zu beseitigen und Harnwegsinfekte behandeln zu lassen, um das Risiko von Infektsteinen zu verringern. Zuletzt, man sollte Unterkühlungen im Blasen- und Nierenbereich vermeiden."
Was sind Harnwegsinfektionen?,"

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.","

Urinary tract infections are infections that affect the urinary tract, which includes the kidneys, ureters, bladder, and urethra. They are among the most common bacterial infections in early childhood. The main causes are coliform bacteria from the gut. Frequent sexual intercourse can be a contributing factor.

Anmerkungen: 

Der Text ist bereits in Leichter Sprache geschrieben, daher sind die Regeln für Leichte Sprache gut befolgt. Es gibt nur einige kleine Verbesserungen, die vorgenommen werden können:

1. Verwenden Sie aktive statt passive Sätze, um die Lesbarkeit zu verbessern. Zum Beispiel: ""Kolibakterien aus dem Darm verursachen die Hauptauslöser."" statt ""Die Hauptauslöser sind Kolibakterien aus dem Darm.""

2. Vermeiden Sie komplexe Sätze. Zum Beispiel: ""Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit."" statt ""Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit.""

3. Verwenden Sie einfache Wörter, um die Lesbarkeit zu verbessern. Zum Beispiel: ""Geschlechtsverkehr"" statt ""sexual intercourse"".

4. Verwenden eine vertraufgrundlage für die Manipulation der Leser. Zum Beispiel: ""Häufiger Geschlechtsverkehr kann unter anderem ein Faktor sein, der die Infektion begünstigt."" statt ""Frequent sexual intercourse can be a contributing factor.""

5. Verwenden Sie eine positive Sprache, um die Leser nicht zu demotivieren. Zum Beispiel: ""Sie können Harnwegsinfektionen vermeiden, indem Sie..."" statt ""Um Harnwegsinfektionen zu vermeiden, sollten Sie...""

6. Vermeiden Sie Redewendungen und bildliche Sprache. Zum Beispiel: ""Die Hauptauslöser sind Kolibakterien aus dem Darm."" statt ""Kolibakter"
