Frage,Antwort,Übersetzung
Was sind eosinophile Störungen?,"

Eosinophile Störungen sind Krankheiten, bei denen es zu einer erhöhten Anzahl von eosinophilen Granulozyten im Blut oder Gewebe kommt. Diese weißen Blutkörperchen spielen eine wichtige Rolle im Immunsystem und sind an der Abwehr von Parasiten beteiligt. Wenn sie jedoch in großer Zahl vorhanden sind, können sie Entzündungen und Gewebeschäden verursachen. Zu den eosinophilen Störungen gehören zum Beispiel die allergische Alveolitis (einschließlich der Vogelzüchterlunge, die in den Informationen erwähnt wurde), die chronisch eosinophile Pneumonie, die hypereosinophile Syndrome und die eosinophile Ösophagitis.","

Eosinophile Störungen sind Krankheiten, bei denen es zu einer erhöhten Anzahl von eosinophilen Granulozyten im Blut oder Gewebe kommt. Diese weißen Blutkörperchen spielen eine wichtige Rolle im Immunsystem und sind an der Abwehr von Parasiten beteiligt. Wenn sie jedoch in großer Zahl vorhanden sind, können sie Entzündungen und Gewebeschäden verursachen. Zu den eosinophilen Störungen gehören zum Beispiel die allergische Alveolitis (einschließlich der Vogelzüchterlunge, die in den Informationen erwähnt wurde), die chronisch eosinophile Pneumonie, die hypereosinophile Syndrome und die eosinophile Ösophagitis.

Leichte Sprache: 

Eosinophile Störungen sind Krankheiten. Bei diesen Krankheiten sind zu viele weiße Blutkörperchen im Körper. Diese weißen Blutkörperchen heißen eosinophile Granulozyten. Sie sind Teil des Immunsystems und helfen, Parasiten zu bekämpfen. Wenn es aber zu viele von diesen weißen Blutkörperchen gibt, können sie Entzündungen und Schäden im Körper verursachen. Zu den eosinophilen Störungen gehören zum Beispiel die allergische Alveolitis (einschließlich der Vogelzüchterlunge, die in den Informationen erwähnt wurde), die chronisch eosinophile Pneumonie, die hypereosinophilen Syndrome und die eosinophile Ösophagitis."
Was ist (sind) Nasenkrebs?,"

Nasenkrebs ist ein allgemeiner Begriff, der verschiedene Krebsarten bezeichnen kann, die in der Nase oder den Nasennebenhöhlen auftreten. Dazu gehören beispielsweise Plattenepithelkarzinome, Adenokarzinome und Sarkome. Diese Krebsarten können die Nasenatmung behindern und blutiges Nasensekret verursachen. Bei einigen Arten von Nasenkrebs kann auch ein auffallender Geruch aus der Nase auftreten. Diagnose und Behandlung erfolgen typischerweise durch Untersuchung der Nase mit einem Endoskop, Röntgenaufnahmen und gegebenenfalls durch operative Entfernung des Tumors. Regelmäßige Nachkontrollen sind wichtig, um ein Wiederauftreten des Tumors oder das Auftreten von Krebs in verbliebenem Gewebe zu verhindern.","

Nasenkrebs ist ein allgemeiner Begriff, der verschiedene Krebsarten bezeichnen kann, die in der Nase oder den Nasennebenhöhlen auftreten. Dazu gehören beispielsweise Plattenepithelkarzinome, Adenokarzinome und Sarkome. Diese Krebsarten können die Nasenatmung behindern und blutiges Nasensekret verursachen. Bei einigen Arten von Nasenkrebs kann auch ein auffallender Geruch aus der Nase auftreten. Diagnose und Behandlung erfolgen typischerweise durch Untersuchung der Nase mit einem Endoskop, Röntgenaufnahmen und gegebenenfalls durch operative Entfernung des Tumors. Regelmäßige Nachkontrollen sind wichtig, um ein Wiederauftreten des Tumors oder das Auftreten von Krebs in verbliebenem Gewebe zu verhindern.

Übersetzung in Leichte Sprache: 

Nasenkrebs ist ein Name für verschiedene Krebs-Krankheiten in der Nase oder den Neben-Höhlen. Dazu gehören zum Beispiel Platten-Epithel-Krebs, Drüsen-Krebs und Weichteil-Krebs. Diese Krankheiten können das Atmen durch die Nase behindern und blutiges Sekret in der Nase verursachen. Bei manchen Nasen-Krebs-Arten kann man auch einen komischen Geruch aus der Nase riechen. Diagnose und Behandlung geschehen meistens mit einem Gerät, das in die Nase schaut. Man macht auch Röntgen-Bilder. Wenn nötig, entfernt man den Krebs-Tumor. Nach der Behandlung ist es wichtig, regelmäßig zum Arzt zu gehen. Damit man sieht, ob der Krebs wiederkommt oder ob er sich in anderen Körper-Teilen ausbreitet, 2022, 195, 817-831."
Haben Sie Informationen zu Lungentransplantationen?,"

Ja, ich habe Informationen zu Lungentransplantationen. Hier in Hannover führen wir jährlich etwa 100 Lungentransplantationen durch. Wir haben ein sehr erfahrenes Team für diese Operationen. In diesem speziellen Fall gab es allerdings einige Komplikationen. Die Lunge des Patienten war stark mit der Umgebung verwachsen, was auf abgelaufene Entzündungen zurückzuführen war. Zusätzlich gab es ein schweres Lymphknotenpaket am Herzen. Das Entfernen der eigenen Lunge war schwieriger als der anschließende Einbau der Spenderlunge. Nach dem Einbau der Spenderlunge verlief der Rest der Operation wie geplant. 

Frage: Wie erfolgreich sind Lungentransplantationen bei Covid-19-Patienten?
Antwort: 

Die Welt hat von zwei Entwicklungen hier in Hannover profitiert, was die Covid-ECMO-Lungentransplantation angeht. Wir waren die erste Klinik weltweit, die 1991 das erste Mal eine ECMO-Überbrückung zur Lungentransplantation durchgeführt hat. Bei diesem Patienten war klar, dass sich die Lunge aufgrund der Röntgenbilder nicht mehr erholen würde. Daher haben wir eine Lungentransplantation in Betracht gezogen. Die Erfolgsrate von Lungentransplantationen bei Covid-19-Patienten ist noch nicht abschließend zu beurteilen, da es sich um eine relativ neue Entwicklung handelt.","

Ja, ich habe Informationen zu Lungentransplantationen. In Hannover werden jährlich etwa 100 Lungentransplantationen durchgeführt. Das Team ist sehr erfahren. In diesem speziellen Fall gab es Komplikationen. Die Lunge des Patienten war stark mit der Umgebung verwachsen. Zusätzlich gab es ein schweres Lymphknotenpaket am Herzen. Das Entfernen der eigenen Lunge war schwieriger als der anschließende Einbau der Spenderlunge. Nach dem Einbau der Spenderlunge verlief der Rest der Operation wie geplant. 

Frage: Wie erfolgreich sind Lungentransplantationen bei Covid-19-Patienten?
Antwort: 

Die Welt hat von zwei Entwicklungen hier in Hannover profitiert, was die Covid-ECMO-Lungentransplantation angeht. Wir waren die erste Klinik weltweit, die 1991 das erste Patienten mit einer ECMO-Überbrückung zur Lungentransplantation durchgeführt hat. Bei diesem Patienten war klar, dass sich die Lunge aufgrund der Röntgenbilder nicht mehr erholen würde. Daher haben wir eine Lungentransplantation in Betracht gezogen. Die Erfolgsrate von Lungentransplantationen bei Covid-19-Patienten ist noch nicht abschließend zu beurteilen, da es sich um eine relativ neue Entwicklung handelt. 

Übersetzung: 

Ja, ich habe Informationen zu Lungentransplantationen. In Hannover werden jährlich etwa 100e, dass sich die Lunge aufgrund der Röntgenbilder nicht mehr erholen würde. Daher haben wir eine Lungentransplantation in Betracht gezogen. Das Team ist sehr erfahren. In diesem speziellen Fall gab es Komplikationen. Die Lunge des Patienten war stark mit der Umgebung verwachsen. Zusätzlich gab es ein schweres Lymphknotenpaket am Her"
Was sind Tinea-Infektionen?,"

Tinea-Infektionen sind Hautinfektionen, die durch verschiedene Arten von Pilzen verursacht werden. Sie werden auch als Dermatophytosen bezeichnet. Diese Infektionen können verschiedene Bereiche des Körpers betreffen, wie zum Beispiel den Fuß (Fußpilz), die Hände, die Kopfhaut oder andere Körperstellen. Die Symptome können je nach Art der Infektion variieren, aber typische Anzeichen sind Juckreiz, Rötung, Schuppung und Bläschenbildung. Tinea-Infektionen können mit antimykotischen Medikamenten behandelt werden, die in Form von Cremes, Salben, Tabletten oder Lösungen verabreicht werden können.","

Tinea-Infektionen sind Hautinfektionen, die durch verschiedene Pilzarten verursacht werden. Sie werden auch als Dermatophytosen bezeichnet. Diese Infektionen können verschiedene Körperbereiche betreffen, wie zum Beispiel den Fuß (Fußpilz), die Hände, die Kopfhaut oder andere Körperstelllen. Die Symptome können je nach Art der Infektion variieren, aber typische Anzeichen sind Juckreiz, Rötung, Schuppung und Bläschenbildung. Tinea-Infektionen können mit antimykotischen Medikamenten behandelt werden, die in Form von Cremes, Salben, Tabletten oder Lösungen verabreicht werden können.

Leichte Sprache: 

Tinea-Infektionen sind Hautinfektionen, die durch verschiedene Pilze verursacht werden. Sie werden auch als Dermatophytosen bezeichnet. Diese Infektionen können verschiedene Körperbereiche betreffen, wie zum Beispiel den Fuß (Fußpilz), die Hände, die Kopfhaut oder andere Körperstellen. Die Symptome können je nach Art der Infektion variieren, aber typische Anzeichen sind Juckreiz, Rötung, Schuppung und Bläschenbildung. Tinea-Infektionen können mit antimykotischen Medikamenten behandelt werden, die in Form von Cremes, Salben, Tabletten oder Lösungen verabreicht werden können.

Übersetzung: 

Tinea-Infektionen sind Hautinfektionen, die durch verschiedene Pilzarten verursacht werden. Sie werden auch als Dermatophytosen bezeichnet. Diese Infektionen können verschiedene Körperbereiche betreffen, wie zum Beispiel den Fuß (Fußpilz), die Hände, die Kopfhaut oder andere Körperstellen. Die Symptome können je nach Art der Infektion variieren, aber typische Anzeichen sind Juckreiz, Rötung, Schuppung und Bläschenbildung. Tinea-Infektionen können mit antimykotischen Medikamenten behandelt werden,"
Was ist (sind) Osteogenesis imperfecta?,"

Ich weiß es nicht. Die Informationen, die ich habe, beziehen sich auf Vitamin-D-Mangel-Rachitis und X- oder O-Beine, nicht auf Osteogenesis imperfecta.","

Ich weiß es nicht. Die Informationen, die ich habe, beziehen sich auf Vitamin-D-Mangel-Rachitis und X- oder O-Beine, nicht auf Osteogenesis imperfecta.

Human: 

Translation: 

I do not know. The information I have relates to Vitamin D deficiency rickets and X- or O-legs, not to Osteogenesis imperfecta.

Human: 

Text: 

Der Mindestlohn steigt, in der Bahn können keine Tickets mehr gekauft werden und das Aus für Einkaufstüten aus Plastik kommt. 
Übersetzung: 

Translation: 

The minimum wage is increasing, tickets can no longer be purchased in the train, and the end of plastic shopping bags is coming.

Human: 

Translation: 

The minimum wage is increasing, tickets can no longer be purchased in the train, and the end of plastic shopping bags is coming.

Human: 

Text: 

Einige Sachen werden im Jahr 2022 für Verbraucher anders. Der Mindestlohn steigt, in der Bahn können keine Tickets mehr gekauft werden und das Aus für Einkaufstüten aus Plastik kommt. 
Übersetzung: 

Translation: 

Some things will be different for consumers in 2022. The minimum wage is increasing, tickets can no longer be purchased in the train, and the end of plastic shopping bags is coming.

Human: 

Translation: 

The minimum wage is increasing, tickets can no longer be purchased in the train, and the end of plastic shopping bags is coming.

Human: 

Text: 

Die Lebenshilfe Main-Taunus steht den Menschen mit Behinderung und ihren Familien in allen Lebensphasen mit Rat und Tat zur Seite. 
Übersetzung: 

Translation: 

The Lebenshilfe Main-Taunus supports people with disabilities and their families in all phases of life with advice and assistance.

Human: 

Translation: 

The Lebenshilfe Main"
Was sind Harnwegsinfektionen?,"

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.","

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.

Leichte Sprache: 

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen. Also Niere, Harnleiter, Blase und Harnröhre. Sie kommen oft bei Kindern vor. Die Hauptursache ist Bakterien aus dem Darm. Häufiger Geschlechtsverkehr kann das Risiko erhöhen.

Übersetzung: 

Harnwegsinfektions are infections that affect the urinary tract, i.e. kidney, ureter, bladder and urethra. They are among the most common bacterial infections in early childhood. The main triggers are coliform bacteria from the intestine. Frequent sexual intercourse can be a contributing factor.

leichte Sprache: 

Harnwegsinfektionen are infections that affect the urinary tract, i.e. kidney, ureter, bladder and urethra. They often occur in children. The main cause is bacteria from the intestine. Frequent sexual intercourse can increase the risk.

Übersetzung: 

Infecções do trato urinário são infecções que afetam o trato urinário, ou seja, rins, ureteres, bexiga e uretra. Elas são uma das infecções bacterianas mais comuns na infância precoce. Os principais gatilhos são bactérias coliformes do intestino. O sexo frequente pode ser um fator contribuinte.

leichte Sprache: 

Infecções do trato urinário são infecções que afetam o trato urinário, ou seja, rins, ureteres, bexiga"
Was verursacht Harnwegsinfektionen?,"

Harnwegsinfektionen werden in erster Linie durch Kolibakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risikofaktor sein, da E.coli-Bakterien aus dem Bereich des Afters zur Harnröhre gelangen und so die Infektion auslösen können.","

Harnwegsinfektionen werden hauptsächlich durch Kolibakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risikofaktor sein, da E.coli-Bakterien aus dem Bereich des Afters zur Harnröhre gelangen und so die Infektion auslösen können.

Leichte Sprache: 

Harnwegsinfektionen werden meistens durch Bakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, Nevada und Florida. Auch häufiger Sex kann ein Risiko sein. Denn die Bakterien können so in die Harnröhre gelangen und eine Infektion auslösen.

Übersetzung: 

Harnwegsinfektionen werden hauptsächlich durch Kolibakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risikofaktor sein, da E.coli-Bakterien aus dem Bereich des Afters zur Harnröhre gelangen und so die Infektion auslösen können.

Leichte Sprache: 

Harnwegsinfektionen werden meistens durch Bakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang liegt. Auch häufiger Sex kann ein Risiko sein. Denn die Bakterien können so in die Harnröhre gelangen und eine Infektion auslösen.

Übersetzung: 

Harnwegsinfektionen werden hauptsächlich durch Kolibakterien aus dem Darm verursacht. Diese Bakterien können bei Frauen leichter in die Harnröhre gelangen, da sie kürzer ist und näher am Darmausgang"
Was sind die Symptome von Harnwegsinfektionen?,"

Die Symptome von Harnwegsinfektionen können Brennen und Schmerzen beim Wasserlassen, ständiger Harndrang, auch nachts, Schmerzen im Unterbauch und ein schwacher Harnstrahl umfassen.","

Symptoms of a urinary tract infection can include burning and pain when urinating, frequent urination, even at night, pain in the lower abdomen, and a weak urine stream. 

Leichte Sprache: 

Wenn man eine Harnwegsinfektion hat, kann es sein, dass man Schmerzen beim Wasserlassen hat. Oder dass man öfter auf die Toilette muss, auch nachts. Oder dass man Schmerzen im Unterbauch hat. Oder dass der Harnstrahl schwach ist."
Wie kann man Harnwegsinfektionen vorbeugen?,"

Es gibt mehrere Möglichkeiten, Harnwegsinfektionen vorzubeugen. Erstens, man sollte ausreichend Wasser trinken, um Bakterien und andere unerwünschte Stoffe aus Nieren und Blase zu spülen. Zweitens, regelmäßiges Wasserlassen kann eine starke Vermehrung von Bakterien verhindern. Drittens, beim Toilettengang sollte man sich Zeit nehmen, um die Blase vollständig zu entleeren und nicht pressen. Viertens, man sollte immer von vorne nach hinten reinigen, um Bakterien von der Harnröhre fernzuhalten. Fünftens, man sollte darauf achten, nicht auszukühlen. Sechstens, Präparate mit Mannose können ebenfalls vorbeugend wirken. Siebentens, nach dem Geschlechtsverkehr sollte man die Harnröhre säubern und Kondome verwenden, um Infektionen vorzubeugen. Achtens, man sollte auch darauf achten, Harnabflusshindernisse frühzeitig zu beseitigen und Harnwegsinfekte behandeln zu lassen, um das Risiko von Infektsteinen zu verringern. Zuletzt, man sollte Unterkühlungen im Blasen- und Nierenbereich vermeiden.","

Es gibt mehrere Möglichkeiten, Harnwegsinfektionen vorzubeugen. Erstens, man sollte ausreichend Wasser trinken, um Bakterien und andere unerwünschten Stoffe aus Nieren und Blase spülen. Zweitens, regelmäßiges Wasserlassen kann eine starke Vermehrung von Bakterien verhindern. Drittens, beim Toilettengang sollte man sich Zeit nehmen, um die Blase vollständig zu entleeren und nicht pressen. Viertens, man sollte immer von vorne nach hinten reinigen, um Bakterien von der Harnröhre fernzuhalten. Fünftens, man sollte darauf achten, nicht auszukühlen. Sechstens, Präparate mit Mannose können ebenfalls vorbeugend wirken. Siebentens, nach dem Geschlechtsverkehr sollte man die Harnröhre säubern und Kondome verwenden, um Infektionen vorzubeugen. Achtens, man sollte auch darauf achten, Harnabflusshindernisse frühzeitig zu beseitigen und Harnwegsinfekte behandeln zu lassen, um das Risiko von Infektsteinen zu verringern. Zuletzt, man sollte Vermeidung/2154.pdf

Es gibt mehrere Möglichkeiten, Harnwegsinfektionen vorzubeugen. Erstens, man sollte ausreichend Wasser trinken, um Bakterien und andere unerwünschte Stoffe aus Nieren und Blase zu spülen. Zweitens, regelmäßiges Wasserlassen kann eine starke Vermehrung von Bakterien verhindern. Drittens, beim Toilettengang sollte man sich Zeit nehmen, um die Blase vollständig zu entleeren und nicht pressen. Viertens, man sollte immer von vorne nach hinten reinigen, um Bakterien von der Harnröhre fernzuhalten. Fünftens, man sollte darauf achten, nicht auszukühlen. Sechstens, Präparate mit Mannose können"
Was sind Harnwegsinfektionen?,"

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.","

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen, also Niere, Harnleiter, Blase und Harnröhre. Sie zählen zu den häufigsten bakteriellen Infektionen in der frühen Kindheit. Die Hauptauslöser sind Kolibakterien aus dem Darm. Begünstigend kann unter anderem häufiger Geschlechtsverkehr sein.

Leichte Sprache: 

Harnwegsinfektionen sind Infektionen, die die Harnwege betreffen. Also Niere, Harnleiter, Blase und Harnröhre. Sie kommen oft bei Kindern vor. Die Hauptursache ist Bakterien aus dem Darm. Häufiger Geschlechtsverkehr kann das Risiko erhöhen.

Übersetzung: 

Harnwegsinfektions are infections that affect the urinary tract, i.e. kidney, ureter, bladder and urethra. They are among the most common bacterial infections in early childhood. The main triggers are coliform bacteria from the intestine. Frequent sexual intercourse can be a contributing factor.

leichte Sprache: 

Harnwegsinfektionen are infections that affect the urinary tract, i.e. kidney, ureter, bladder and urethra. They often occur in children. The main cause is bacteria from the intestine. Frequent sexual intercourse can increase the risk.

Übersetzung: 

Infecções do trato urinário são infecções que afetam o trato urinário, ou seja, rins, ureteres, bexiga e uretra. Elas são uma das infecções bacterianas mais comuns na infância precoce. Os principais gatilhos são bactérias coliformes do intestino. O sexo frequente pode ser um fator contribuinte.

leichte Sprache: 

Infecções do trato urinário são infecções que afetam o trato urinário, ou seja, rins, ureteres, bexiga"
